,Name,Homepage
0,AIDN AS,Not Available
0,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Not Available
0,AUTODESK NORWAY OPERATIONS AS,Not Available
0,AVANADE NORWAY AS,www.avanade.com
0,AWILHELMSEN MANAGEMENT AS,Not Available
0,BANQSOFT AS,www.banqsoft.no
0,BREDVID AS,bredvid.no
0,BSPOKE AS,Not Available
0,EMMA SYSTEMS AS,Not Available
0,FORTINET B.V.,Not Available
0,INTERNATIONAL BUSINESS MACHINES AS,www.ibm.com/no
0,IT CONSULT AS,Not Available
0,JPROFESSIONALS AS,Not Available
0,KNOWIT IMPACT AS,Not Available
0,KYNDRYL NORWAY AS,Not Available
0,KYNDRYL SERVICES AS,Not Available
0,MICROSOFT DATACENTER NORWAY AS,Not Available
0,MICROSOFT NORGE AS,www.microsoft.com/norge/
0,MOVE AS,www.move.no
0,MÃ˜LLER DIGITAL AS,www.moller.no
0,NORSK BYGGTJENESTE AS,www.byggtjeneste.no
0,OLIASOFT AS,www.oliasoft.com
0,PROACT IT NORGE AS,www.proact.no
0,PUZZEL AS,Not Available
0,REDPILL LINPRO CLOUDOPS AS,redpill-linpro.com
0,REDPILL LINPRO DEVOPS AS,Not Available
0,SIMPLIFAI AS,www.simplifai.ai/
0,Skog-Data AS,www.skogdata.no
0,TISE AS,www.tise.com
0,TRADESOLUTION AS,www.tradesolution.no
0,VERIFONE NORWAY AS,www.verifone.no
0,VITEC MEGLER AS,Not Available
0,WEBMED EPJ AS,Not Available
0,AGENS AS,www.agens.no
0,AMESTO SOLUTIONS AS,www.amestosolutions.no
0,BASIS CONSULTING AS,Not Available
0,CLOUD CONNECTION AS,www.cloudconnection.no
0,CRAYON AS,www.crayon.no
0,DISTRIBUTION INNOVATION AS,www.di.no
0,EASY PARK AS,www.easypark.no
0,EVERBRIDGE NORWAY AS,www.ums.no
0,GELATO ASA,www.gelatogroup.com
0,JOTTA AS,www.jotta.no
0,KEZZLER AS,www.kezzler.com
0,KNOWIT DECISION AS,www.knowit.no
0,NAGARRO AS,www.conduct.no
0,NETEL AS,Not Available
0,ORKLA IT AS,Not Available
0,PUZZLEPART AS,www.puzzlepart.com
0,RETRIEVER NORGE AS,www.retriever.no
0,SARIBA CONSULTING AS,www.sariba.com
0,TATA CONSULTANCY SERVICES LIMITED,www.tcs.com
0,TELIA NORGE AS,Not Available
0,INSPERA AS,Not Available
0,OMDA AS,Not Available
0,DIGNIO AS,www.dignio.no
0,DOGU SALESSCREEN AS,www.dogu.no
0,SCIENTA AS,www.scienta.no
0,3 STEP IT AS,www.3stepit.com
0,ABC STARTSIDEN AS,www.startsiden.no
0,ABOVEIT AS,www.aboveit.no
0,ACCENTURE AS,Not Available
0,ADDSECURE AS,www.addsecure.no
0,ADITE AS,Not Available
0,ADVANIA NORGE AS,www.advania.no
0,AERA PAYMENT & IDENTIFICATION AS,Not Available
0,ALV AS,Not Available
0,ALWAYS CONNECTING AS,Not Available
0,AMBITA AS,Not Available
0,ANBUDSTORGET.NO AS,Not Available
0,APPFARM AS,Not Available
0,ARDOQ AS,www.ardoq.com
0,ARRIBATEC NORGE AS,Not Available
0,ATEA AS,www.atea.no
0,ATTENSI AS,www.attensi.com
0,AVELLA AS,www.avella.no
0,AXAZ AS,Not Available
0,BANKID BANKAXEPT AS,Not Available
0,BEKK CONSULTING AS,www.bekk.no
0,BLANK AS,blank.no
0,BLINQ AS,www.blinq.no
0,BOITANO OSLO AS,Not Available
0,BOUVET NORGE AS,www.bouvet.no
0,BRAVO NORGE AS,Not Available
0,BULK DATA CENTERS AS,www.bulk.no
0,BUYPASS AS,www.buypass.no
0,CAPGEMINI NORGE AS,www.no.capgemini.com
0,CAPRA CONSULTING AS,www.capraconsulting.no
0,CATALYSTONE SOLUTIONS AS,Not Available
0,CEPHEO NORGE AS,Not Available
0,CGI NORGE AS,www.cginorge.no
0,COLUMBUS NORWAY AS,www.columbusglobal.no
0,COMPUTAS AS,Not Available
0,CONSCIA NORGE AS,www.conscia.no
0,CRAYON GROUP AS,www.crayon.com
0,CTS NORDICS AS,Not Available
0,DEEL NORWAY AS,Not Available
0,DEEPINSIGHT AS,www.deepinsight.io/
0,DEFENDABLE AS,Not Available
0,DEKODE INTERAKTIV AS,www.dekode.no
0,DEVOTEAM M CLOUD AS,Not Available
0,DFIND CONSULTING AS,Not Available
0,DIGITALE MEDIER 1881 AS,Not Available
0,EG NORGE AS,eg.no
0,EIENDOMSVERDI AS,Not Available
0,ELHUB AS,Not Available
0,EMBRIQ AS,www.embriq.no
0,EPINOVA AS,Not Available
0,EVIDI AS,Not Available
0,EXPERIS AS,www.experis.no
0,EXPERIS SERVICES AS,Not Available
0,EXPERT ANALYTICS AS,Not Available
0,EXSITEC AS,www.exsitec.no
0,FIELD GEOSPATIAL AS,Not Available
0,FIKEN AS,www.fiken.no
0,FINDABLE AS,Not Available
0,FINK AS,Not Available
0,FINN NO AS,Not Available
0,FORTE TECHNOLOGY AS,Not Available
0,FREND DIGITAL AS,www.frend.no
0,FUGRO NORWAY AS,Not Available
0,GARTNER NORGE AS,Not Available
0,GEODATA AS,www.geodata.no
0,GEOMATIKK AS,www.geomatikk.no
0,GOOGLE NORWAY AS,Not Available
0,GRITERA AS,www.gritera.com
0,GULE SIDER AS,www.gulesider.no
0,HANSEN TECHNOLOGIES NORWAY AS,www.hansencx.com
0,HCL TECHNOLOGIES NORWAY AS,www.hcl.com
0,HEIMDALL POWER AS,Not Available
0,HITACHI RAIL GTS NORWAY AS,Not Available
0,HJEMMESIDEHUSET AS,Not Available
0,HOLTE AS,www.holte.no
0,IGNITE PROCUREMENT AS,www.igniteprocurement.com
0,INNOFACTOR AS,Not Available
0,INSPIRIT365 AS,Not Available
0,INTILITY AS,intility.no
0,ITEM CONSULTING AS,Not Available
0,ITERA NORGE AS,www.itera.no
0,KANTEGA AS,www.kantega.no
0,KINDLY AS,Not Available
0,KNOWIT AMENDE AS,www.knowit.no
0,KNOWIT DATAESS AS,www.knowit.no
0,KNOWIT EXPERIENCE OSLO AS,www.knowit.no
0,KNOWIT INSIGHT BUSINESS SOLUTION AS,www.knowit.no
0,KNOWIT OBJECTNET AS,www.knowit.no
0,LEARNLAB AS,www.learnlab.net
0,LEDIDI AS,Not Available
0,LINK MOBILITY AS,www.linkmobile.no
0,LYCAMOBILE NORWAY LIMITED,Not Available
0,MASTERCARD PAYMENT SERVICES NORWAY AS,Not Available
0,MERCELL HOLDING AS,www.mercell.no
0,MILES AS,www.miles.no
0,MILIENT SOFTWARE AS,Not Available
0,MNEMONIC AS,www.mnemonic.no
0,NEONOMICS AS,www.neonomics.io
0,NEPTUNE SOFTWARE AS,Not Available
0,NETCOMPANY NORWAY AS,Not Available
0,NETLIFE DESIGN AS,Not Available
0,NETLIGHT AS,www.netlight.com
0,NETS BRANCH NORWAY,www.nets.eu
0,NETSECURITY AS,Not Available
0,NETTBUREAU AS,nettbureau.no
0,NIMBUS FIBER AS,www.nimbus.no
0,NLOGIC AS,www.nlogic.no
0,NORGESGRUPPEN DATA AS,www.norgesgruppen.no
0,NORIA AS,www.noria.no
0,NORKART AS,Not Available
0,NORTHERN BEAT AS,www.northernbeat.no
0,NOVANET AS,www.novanet.no
0,NTT DATA BUSINESS SOLUTIONS AS,www.itelligence.no
0,ODA GROUP SERVICES AS,Not Available
0,OMEGAPOINT NORGE AS,www.itverket.no
0,OPERA NORWAY AS,Not Available
0,PAPIRFLY AS,www.brandmaster.com
0,PAYEX NORGE AS,Not Available
0,PEXIP AS,Not Available
0,PISTACHIO AS,Not Available
0,POINT TAKEN AS,www.pointtaken.no
0,PORTALONE AS,Not Available
0,PRECIS DIGITAL AS,www.precisdigital.com
0,PROCANO AS,procano.com
0,PROMON AS,www.promon.no
0,REFINITIV NORGE AS,Not Available
0,REMARKABLE AS,remarkable.com
0,RIGHT AS,www.rightgroup.no
0,RIKSTV AS,www.rikstv.no
0,RIVERTY GROUP NORWAY AS,Not Available
0,SCHIBSTED MEDIA PRODUCTS & TECHNOLOGY AS,schibsted.com
0,SCHIBSTED NORGE SMB AS,Not Available
0,SCHIBSTED PRODUCTS & TECHNOLOGY AS,www.schibsted.no
0,SD WORX NORWAY AS,www.sdworx.no
0,SECTOR ALARM TECH AS,Not Available
0,SEEBRITE RETAIL AS,Not Available
0,SENSIO AS,Not Available
0,SHORTCUT AS,www.shortcut.no
0,SIKRI AS,Not Available
0,SITECOM AS,Not Available
0,SOCO NORGE AS,www.soco.no
0,SONITOR TECHNOLOGIES AS,Not Available
0,SONY MUSIC ENTERTAINMENT NORWAY AS,Not Available
0,SOPRA STERIA AS,www.soprasteria.no
0,SPACE NORWAY AS,Not Available
0,SPOND AS,Not Available
0,SQUAREHEAD TECHNOLOGY AS,Not Available
0,STEP SOLUTIONS AS,Not Available
0,STIFTELSEN LOVDATA,Not Available
0,STRISE AS,Not Available
0,SYSTEK AS,www.systek.no/
0,TALENTECH AS,Not Available
0,TECH MAHINDRA NORWAY AS,Not Available
0,TECHFOLK AS,Not Available
0,TECHSTEP NORWAY AS,www.techstep.no
0,THALES NORWAY AS,thales.no
0,THE CLOUD PEOPLE AS,www.thecloudpeople.com/
0,THE QT COMPANY AS,Not Available
0,TIDAL MUSIC AS,www.wimpmusic.com
0,TRIFID NORGE AS,Not Available
0,TRY DIG AS,Not Available
0,TV 2 SKOLE AS,Not Available
0,TWODAY ANALYTICS AS,Not Available
0,TWODAY AS,www.twoday.no
0,UTILITYCLOUD AS,altere.no
0,VARIANT OSLO AS,Not Available
0,VILLOID AS,Not Available
0,VINCE AS,www.vince.no
0,VISMA FLYT AS,Not Available
0,VISMA REAL ESTATE AS,Not Available
0,VISMA SOFTWARE AS,Not Available
0,VIVALDI TECHNOLOGIES AS,Not Available
0,WANDA GROUP AS,Not Available
0,WEBSTEP AS,www.webstep.no
0,WIOSS WITRON ON SITE SERVICES GMBH,Not Available
0,WOLT NORWAY AS,www.wolt.com
0,XPLORA TECHNOLOGIES AS,Not Available
0,ZENITEL NORWAY AS,www.zenitel.com
0,ZETADISPLAY NORWAY AS,www.prontotv.no
0,ZIVID AS,www.zivid.com
0,COMPENDIA AS,www.compendia.no
0,DEVOTEAM AS,Not Available
0,ENTUR AS,Not Available
0,HALOGEN AS,www.halogen.no
0,HEWLETT-PACKARD NORGE AS,www.hpe.no
0,INMETA CONSULTING AS,www.inmeta.no
0,LINK MOBILITY GROUP AS,www.linkmobility.com
0,MOTOROLA SOLUTIONS NORWAY AS,www.motorola.com/no
0,NOA IGNITE AS,Not Available
0,POLITIETS IT-ENHET,www.politiet.no
0,SUPEROFFICE NORGE AS,Not Available
0,TWODAY CONCEPTOS AS,www.conceptos.no
0,ORANGE BUSINESS DIGITAL NORWAY AS,www.digital.orange-business.com
0,KAHOOT! AS,www.kahoot.com
0,SCELTO AS,Not Available
0,MEDIACONNECT AS,www.mediaconnect.no
0,MOLENDO AS,Not Available
0,TIKTOK NORWAY AS,Not Available
0,PLYO AS,plyo.io
